10000	-8	-8.80
10000	-8	-9.00
10000	4	3.50
10000	5	4.60
10000	5	3.90
10000	5	3.70
10000	4	2.90
10000	5	4.30
10000	4	3.70
10000	5	4.20
10000	5	3.97
10000	5	3.80
100	5	3.90
1000	5	3.30
5000	5	3.10
10000	5	4.00
10000	7	5.40
100	7	3.10
1000	7	4.80
5000	7	4.00
10000	7	5.20
10000	33	19.33
10000	38	26.10
100	7	4.33
100	21	-6.70
1000	37	21.87
5000	38	23.93
5000	16	2.30
1000	17	1.10
100	-198	-289.07
100	-178	-261.20
1000	17	2.90
100	-228	-309.20
10000	17	6.50
10000	6	0.90
10000	5	3.80
100	5	3.30
1000	5	3.60
5000	5	3.00
10000	5	3.80
100	6	2.20
1009	7	4.00
5000	7	-0.60
5000	6	1.30
10000	6	-0.50
100	-250	-349.00
100	-206	-299.80
1000	-8	-22.40
1000	-10	-19.60
5000	13	-13.50
